7zip 24.09-3
hyprutils-git-debug 0.5.1.r0.g61a5382f-1
hyprwayland-scanner-git 0.4.4.r2.g206367a0-1
hyprwayland-scanner-git-debug 0.4.4.r2.g206367a0-1
iana-etc 20241206-1
icu 76.1-1
intel-ucode 20250211-1
iproute2 6.13.0-1
iptables 1:1.8.10-2
iputils 20240905-1
iso-codes 4.17.0-1
jansson 2.14-4
janus 0.9.6-1
janus-debug 0.9.6-1
jbigkit 2.1-8
jmtpfs 0.5-3
jmtpfs-debug 0.5-3
jq 1.7.1-2
json-c 0.18-1
json-glib 1.10.6-1
jsoncpp 1.9.6-3
karchive 6.11.0-1
kbd 2.7.1-2
kcolorscheme 6.11.0-1
kconfig 6.11.0-1
keyutils 1.6.3-3
kguiaddons 6.11.0-1
ki18n 6.11.0-1
kiconthemes 6.11.0-1
kirigami 6.11.0-1
kitty 0.39.1-1
kitty-shell-integration 0.39.1-1
kitty-terminfo 0.39.1-1
kmod 33-3
krb5 1.21.3-1
kvantum 1.1.3-1
kvantum-qt5 1.1.3-1
kwidgetsaddons 6.11.0-1
kwindowsystem 6.11.0-1
kwindowsystem5 5.116.0-1
l-smash 2.14.5-4
lame 3.100-5
lcms2 2.17-1
ldb 2:4.21.4-1
leancrypto 1.2.0-2
libadwaita 1:1.6.4-1
libappindicator-gtk3 12.10.0.r298-4
libarchive 3.7.7-1
libass 0.17.3-1
libassuan 3.0.0-1
libasyncns 1:0.8+r3+g68cd5af-3
libatasmart 0.19-6
libavc1394 0.5.4-6
libavif 1.1.1-2
libb2 0.98.1-3
libblockdev 3.3.0-1
libblockdev-crypto 3.3.0-1
libblockdev-fs 3.3.0-1
libblockdev-loop 3.3.0-1
libblockdev-mdraid 3.3.0-1
libblockdev-nvme 3.3.0-1
libblockdev-part 3.3.0-1
libblockdev-swap 3.3.0-1
libbluray 1.3.4-2
libbpf 1.5.0-1
libbs2b 3.1.0-9
libbsd 0.12.2-2
libbytesize 2.11-1
libcanberra 1:0.30+r2+gc0620e4-4
libcap 2.71-1
libcap-ng 0.8.5-3
libcdio 2.2.0-1
libcdio-paranoia 10.2+2.0.2-1
libcloudproviders 0.3.6-1
libcolord 1.4.7-2
libcups 2:2.4.11-2
libdaemon 0.14-6
libdatrie 0.2.13-4
libdbusmenu-glib 16.04.0.r498-2
libdbusmenu-gtk3 16.04.0.r498-2
libde265 1.0.15-3
libdecor 0.2.2-1
libdisplay-info 0.2.0-2
libdovi 3.3.1-1
libdrm 2.4.124-1
libdvdnav 6.1.1-2
libdvdread 6.1.3-2
